title;description;artist;culture;teaserText;url;image;regularImage;largeImage;date;medium;accessionNumber;galleryInformation
Fabulous beast;Marcus Behmer (German, Weimar 1879–1958 Berlin);Marcus Behmer;;<p>Marcus Behmer (German, Weimar 1879–1958 Berlin) </p><p>Date: 1900–58<br/>Accession Number: 48.128.1</p>;"/art/collection/search/774206?&ao=on&ft=Rooster&offset=0&rpp=100&amp;pos=94";https://images.metmuseum.org/CRDImages/dp/mobile-large/DP880723.jpg;dp/web-additional/DP880723.jpg;dp/web-large/DP880723.jpg;1900–58;Etching;48.128.1;Not on view
"Case (Inr?) with Design of Pine and Cherry Tree (obverse); Rooster and Hen on a Drum (reverse)"; ;;Japan;<p>Date: 19th century<br/>Accession Number: 29.100.728</p>;"/art/collection/search/58643?&ao=on&ft=Rooster&offset=0&rpp=100&amp;pos=95";https://images.metmuseum.org/CRDImages/as/mobile-large/LC-29_100_728-001.jpg;as/web-additional/LC-29_100_728-001.jpg;as/web-large/LC-29_100_728-001.jpg;19th century;"Black lacquer inlaid with gold foil and mother-of-pearl
";29.100.728;Not on view
Terracotta fragment of a kylix: Band cup (drinking cup); ;;Greek, Attic;<p>Date: third quarter of the 6th century BCE<br/>Accession Number: 2011.604.3.1594</p>;"/art/collection/search/753080?&ao=on&ft=Rooster&offset=0&rpp=100&amp;pos=96";https://images.metmuseum.org/CRDImages/gr/mobile-large/DVB12738_1_ff.jpg;gr/web-additional/DVB12738_1_ff.jpg;gr/web-large/DVB12738_1_ff.jpg;third quarter of the 6th century BCE;Terracotta;2011.604.3.1594;Not on view
Rooster, Umbrella, and Morning Glories;Utagawa Hiroshige (Japanese, Tokyo (Edo) 1797–1858 Tokyo (Edo));Utagawa Hiroshige;Japan;<p>Utagawa Hiroshige (Japanese, Tokyo (Edo) 1797–1858 Tokyo (Edo)) </p><p>Date: ca. 1830<br/>Accession Number: JP2502</p>;"/art/collection/search/56925?&ao=on&ft=Rooster&offset=0&rpp=100&amp;pos=97";https://images.metmuseum.org/CRDImages/as/mobile-large/DP120477.jpg;as/web-additional/DP120477.jpg;as/web-large/DP120477.jpg;ca. 1830;"Woodblock print; ink and color on paper";JP2502;Not on view
The Visitation;Abraham de Bruyn (Flemish, Antwerp 1540–1587 Cologne (?));Abraham de Bruyn;;<p>Abraham de Bruyn (Flemish, Antwerp 1540–1587 Cologne (?)) </p><p>Date: 1580–1600<br/>Accession Number: 17.80.4(1)</p>;"/art/collection/search/423656?&ao=on&ft=Rooster&offset=0&rpp=100&amp;pos=98";https://images.metmuseum.org/CRDImages/dp/mobile-large/DP837137.jpg;dp/web-additional/DP837137.jpg;dp/web-large/DP837137.jpg;1580–1600;Engraving;17.80.4(1);Not on view
Friezes with Birds, Flowers and Meandering Wreaths and Scrolls (4);Theodor Bang (German, active in Nuremberg (fl.1606));Theodor Bang;;<p>Theodor Bang (German, active in Nuremberg (fl.1606)) </p><p>Date: ca. 1600–1617 <br/>Accession Number: 50.562.102(4)</p>;"/art/collection/search/406536?&ao=on&ft=Rooster&offset=0&rpp=100&amp;pos=99";https://images.metmuseum.org/CRDImages/dp/mobile-large/DP837043.jpg;dp/web-additional/DP837043.jpg;dp/web-large/DP837043.jpg;ca. 1600–1617 ;Etching;50.562.102(4);Not on view
Repetitive Pattern of Decorative Roosters with Blue and Green Feathers;Anonymous, French, 20th century ;;;<p>Anonymous, French, 20th century</p><p>Date: ca. 1910–29<br/>Accession Number: 64.503.9</p>;"/art/collection/search/423904?&ao=on&ft=Rooster&offset=0&rpp=100&amp;pos=100";https://images.metmuseum.org/CRDImages/dp/mobile-large/DP829750.jpg;dp/web-additional/DP829750.jpg;dp/web-large/DP829750.jpg;ca. 1910–29;Charcoal, gouache and gold paint;64.503.9;Not on view
Neighbourly Refreshment;Thomas Rowlandson (British, London 1757–1827 London);Thomas Rowlandson;;<p>Thomas Rowlandson (British, London 1757–1827 London) </p><p>Date: 1815<br/>Accession Number: 59.533.1614</p>;"/art/collection/search/788953?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=101";https://images.metmuseum.org/CRDImages/dp/mobile-large/DP884186.jpg;dp/web-additional/DP884186.jpg;dp/web-large/DP884186.jpg;1815;Hand-colored etching;59.533.1614;Not on view
Rooster in yard surrounded by young chicks, from the Easter Subjects series (E45) issued by the American Caramel Company to promote Easter Caramels;Issued by the American Caramel Company, Philadelphia ;American Caramel Company, Philadelphia;;<p>Issued by the American Caramel Company, Philadelphia</p><p>Date: 1910<br/>Accession Number: Burdick 314, E45.6</p>;"/art/collection/search/430618?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=102";https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863443.jpg;dp/web-additional/DP863443.jpg;dp/web-large/DP863443.jpg;1910;Commercial color lithograph;Burdick 314, E45.6;Not on view
Rooster, Hen, and Chicks;Nagasawa Rosetsu ???? (Japanese, 1754–1799);Nagasawa Rosetsu ????;Japan;<p>Nagasawa Rosetsu ???? (Japanese, 1754–1799) </p><p>Date: late 1780s<br/>Accession Number: 1975.268.74</p>;"/art/collection/search/49035?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=103";https://images.metmuseum.org/CRDImages/as/mobile-large/DP276292.jpg;as/web-additional/DP276292.jpg;as/web-large/DP276292.jpg;late 1780s;"Hanging scroll; ink on paper";1975.268.74;Not on view
